timestep,HydroDispatch2,HydroDispatch1_inflow,HydroDispatch3_inflow,SolarBusC,WindBusA,4_Demand,2_Demand,3_Demand
2609,0.754,0.754,0.754,0.611,0.046,0.439,0.442,0.393
2610,0.68,0.68,0.68,0.179,0.974,0.44,0.441,0.396
2611,0.378,0.378,0.378,0.0,0.366,0.474,0.459,0.439
2612,0.284,0.284,0.284,0.0,0.227,0.508,0.455,0.455
2613,0.254,0.254,0.254,0.0,0.714,0.494,0.433,0.437
2614,0.264,0.264,0.264,0.0,0.84,0.463,0.4,0.412
2615,0.254,0.254,0.254,0.0,0.958,0.423,0.367,0.385
2616,0.254,0.254,0.254,0.0,0.972,0.403,0.349,0.365
2617,0.264,0.264,0.264,0.0,0.946,0.393,0.336,0.356
2618,0.264,0.264,0.264,0.0,0.78,0.389,0.329,0.351
2619,0.264,0.264,0.264,0.0,0.866,0.388,0.326,0.349
2620,0.528,0.528,0.528,0.0,0.813,0.388,0.326,0.348
2621,0.764,0.764,0.764,0.0,0.89,0.388,0.329,0.349
2622,0.764,0.764,0.764,0.272,0.932,0.388,0.33,0.346
2623,0.792,0.792,0.792,0.678,0.903,0.388,0.345,0.347
2624,0.764,0.764,0.764,0.881,0.898,0.394,0.366,0.354
2625,0.784,0.784,0.784,0.929,0.073,0.406,0.381,0.364
2626,0.764,0.764,0.764,0.993,0.25,0.415,0.391,0.372
2627,0.774,0.774,0.774,0.998,0.258,0.421,0.4,0.378
2628,0.774,0.774,0.774,0.945,0.161,0.421,0.408,0.383
2629,0.774,0.774,0.774,0.914,0.073,0.42,0.415,0.385
2630,0.764,0.764,0.764,0.916,0.047,0.418,0.422,0.385
2631,0.774,0.774,0.774,0.905,0.065,0.414,0.429,0.385
2632,0.764,0.764,0.764,0.854,0.051,0.41,0.438,0.385
2633,0.774,0.774,0.774,0.649,0.011,0.413,0.441,0.383
2634,0.774,0.774,0.774,0.201,0.003,0.419,0.435,0.381
2635,0.764,0.764,0.764,0.0,0.0,0.452,0.462,0.412
2636,0.726,0.726,0.726,0.0,0.0,0.499,0.466,0.432
2637,0.444,0.444,0.444,0.0,0.004,0.489,0.439,0.415
2638,0.312,0.312,0.312,0.0,0.339,0.443,0.398,0.393
2639,0.254,0.254,0.254,0.0,0.244,0.415,0.361,0.368
2640,0.274,0.274,0.274,0.0,0.421,0.396,0.343,0.357
2641,0.274,0.274,0.274,0.0,0.649,0.39,0.334,0.351
2642,0.264,0.264,0.264,0.0,0.626,0.388,0.329,0.348
2643,0.472,0.472,0.472,0.0,0.388,0.388,0.329,0.347
2644,0.774,0.774,0.774,0.0,0.266,0.389,0.334,0.349
2645,0.764,0.764,0.764,0.0,0.323,0.398,0.353,0.356
2646,0.784,0.784,0.784,0.28,0.363,0.417,0.38,0.358
2647,0.774,0.774,0.774,0.66,0.126,0.451,0.401,0.364
2648,0.784,0.784,0.784,0.852,0.144,0.497,0.412,0.377
2649,0.774,0.774,0.774,0.956,0.071,0.535,0.422,0.388
2650,0.746,0.746,0.746,0.996,0.045,0.574,0.434,0.392
2651,0.736,0.736,0.736,0.989,0.037,0.586,0.441,0.396
2652,0.754,0.754,0.754,0.989,0.08,0.587,0.446,0.395
2653,0.764,0.764,0.764,0.951,0.088,0.592,0.454,0.384
2654,0.774,0.774,0.774,0.936,0.152,0.592,0.464,0.384
2655,0.764,0.764,0.764,0.896,0.11,0.572,0.471,0.383
2656,0.774,0.774,0.774,0.83,0.127,0.558,0.476,0.381
2657,0.764,0.764,0.764,0.649,0.156,0.532,0.472,0.38
2658,0.774,0.774,0.774,0.214,0.129,0.507,0.463,0.388
2659,0.764,0.764,0.764,0.0,0.244,0.543,0.488,0.432
2660,0.764,0.764,0.764,0.0,0.123,0.594,0.489,0.447
2661,0.68,0.68,0.68,0.0,0.237,0.544,0.457,0.428
2662,0.51,0.51,0.51,0.0,0.361,0.494,0.411,0.397
2663,0.254,0.254,0.254,0.0,0.344,0.438,0.372,0.371
2664,0.198,0.198,0.198,0.0,0.169,0.408,0.352,0.357
2665,0.254,0.254,0.254,0.0,0.084,0.397,0.341,0.352
2666,0.33,0.33,0.33,0.0,0.018,0.391,0.336,0.347
2667,0.51,0.51,0.51,0.0,0.001,0.39,0.335,0.347
2668,0.726,0.726,0.726,0.0,0.001,0.393,0.342,0.348
2669,0.784,0.784,0.784,0.0,0.011,0.405,0.363,0.355
2670,0.774,0.774,0.774,0.305,0.065,0.424,0.391,0.358
2671,0.764,0.764,0.764,0.684,0.091,0.461,0.41,0.365
2672,0.784,0.784,0.784,0.87,0.177,0.509,0.415,0.373
2673,0.764,0.764,0.764,0.916,0.096,0.553,0.417,0.382
2674,0.764,0.764,0.764,0.932,0.025,0.586,0.426,0.386
2675,0.754,0.754,0.754,0.936,0.024,0.619,0.434,0.389
2676,0.754,0.754,0.754,0.934,0.009,0.634,0.442,0.39
2677,0.754,0.754,0.754,0.927,0.006,0.641,0.453,0.382
2678,0.784,0.784,0.784,0.907,0.001,0.654,0.463,0.38
2679,0.774,0.774,0.774,0.892,0.004,0.647,0.473,0.38
2680,0.746,0.746,0.746,0.823,0.003,0.625,0.483,0.396
2681,0.746,0.746,0.746,0.62,0.001,0.611,0.483,0.394
2682,0.736,0.736,0.736,0.212,0.0,0.568,0.473,0.401
2683,0.754,0.754,0.754,0.0,0.003,0.605,0.495,0.442
2684,0.716,0.716,0.716,0.0,0.009,0.636,0.491,0.464
2685,0.51,0.51,0.51,0.0,0.009,0.565,0.461,0.44
2686,0.518,0.518,0.518,0.0,0.018,0.504,0.409,0.398
2687,0.49,0.49,0.49,0.0,0.05,0.441,0.371,0.372
2688,0.49,0.49,0.49,0.0,0.136,0.403,0.351,0.358
2689,0.518,0.518,0.518,0.0,0.053,0.393,0.342,0.353
2690,0.518,0.518,0.518,0.0,0.016,0.389,0.338,0.35
2691,0.528,0.528,0.528,0.0,0.121,0.388,0.336,0.349
2692,0.764,0.764,0.764,0.0,0.129,0.389,0.344,0.351
2693,0.774,0.774,0.774,0.0,0.078,0.4,0.364,0.361
2694,0.784,0.784,0.784,0.309,0.01,0.414,0.391,0.365
2695,0.774,0.774,0.774,0.638,0.016,0.449,0.411,0.374
2696,0.754,0.754,0.754,0.815,0.007,0.5,0.416,0.383
2697,0.764,0.764,0.764,0.914,0.005,0.544,0.421,0.393
2698,0.754,0.754,0.754,0.918,0.0,0.599,0.433,0.397
2699,0.764,0.764,0.764,0.914,0.011,0.636,0.442,0.403
2700,0.754,0.754,0.754,0.914,0.007,0.665,0.453,0.396
2701,0.784,0.784,0.784,0.883,0.003,0.677,0.468,0.403
2702,0.764,0.764,0.764,0.857,0.001,0.686,0.483,0.405
2703,0.792,0.792,0.792,0.843,0.0,0.676,0.498,0.412
2704,0.754,0.754,0.754,0.746,0.0,0.656,0.507,0.422
2705,0.764,0.764,0.764,0.598,0.0,0.611,0.505,0.422
2706,0.49,0.49,0.49,0.214,0.001,0.555,0.491,0.422
2707,0.51,0.51,0.51,0.0,0.01,0.569,0.512,0.461
2708,0.482,0.482,0.482,0.0,0.009,0.605,0.503,0.477
2709,0.246,0.246,0.246,0.0,0.011,0.55,0.473,0.448
2710,0.254,0.254,0.254,0.0,0.016,0.479,0.42,0.406
2711,0.218,0.218,0.218,0.0,0.045,0.423,0.376,0.376
2712,0.208,0.208,0.208,0.0,0.148,0.404,0.355,0.36
2713,0.254,0.254,0.254,0.0,0.525,0.397,0.344,0.353
2714,0.274,0.274,0.274,0.0,0.432,0.391,0.338,0.35
2715,0.51,0.51,0.51,0.0,0.29,0.39,0.336,0.349
2716,0.528,0.528,0.528,0.0,0.258,0.391,0.344,0.35
2717,0.51,0.51,0.51,0.0,0.36,0.401,0.364,0.357
2718,0.548,0.548,0.548,0.313,0.393,0.424,0.391,0.362
2719,0.774,0.774,0.774,0.649,0.295,0.471,0.411,0.369
2720,0.774,0.774,0.774,0.795,0.132,0.523,0.417,0.383
2721,0.784,0.784,0.784,0.821,0.031,0.594,0.425,0.398
2722,0.764,0.764,0.764,0.868,0.0,0.652,0.438,0.408
2723,0.764,0.764,0.764,0.868,0.0,0.687,0.452,0.416
2724,0.764,0.764,0.764,0.817,0.0,0.712,0.466,0.415
2725,0.764,0.764,0.764,0.845,0.0,0.74,0.485,0.428
2726,0.774,0.774,0.774,0.815,0.0,0.742,0.505,0.445
2727,0.754,0.754,0.754,0.806,0.003,0.736,0.524,0.443
2728,0.774,0.774,0.774,0.806,0.012,0.708,0.535,0.45
2729,0.754,0.754,0.754,0.607,0.007,0.661,0.535,0.457
2730,0.736,0.736,0.736,0.152,0.02,0.595,0.516,0.456
2731,0.746,0.746,0.746,0.0,0.03,0.595,0.531,0.501
2732,0.688,0.688,0.688,0.0,0.041,0.645,0.521,0.512
2733,0.5,0.5,0.5,0.0,0.039,0.582,0.486,0.476
2734,0.34,0.34,0.34,0.0,0.047,0.5,0.431,0.423
2735,0.246,0.246,0.246,0.0,0.094,0.438,0.385,0.385
2736,0.246,0.246,0.246,0.0,0.543,0.413,0.362,0.366
2737,0.264,0.264,0.264,0.0,0.202,0.399,0.35,0.357
2738,0.254,0.254,0.254,0.0,0.22,0.394,0.343,0.353
2739,0.528,0.528,0.528,0.0,0.33,0.391,0.341,0.351
2740,0.774,0.774,0.774,0.0,0.197,0.393,0.346,0.353
2741,0.764,0.764,0.764,0.0,0.146,0.403,0.364,0.361
2742,0.774,0.774,0.774,0.269,0.072,0.432,0.39,0.366
2743,0.774,0.774,0.774,0.362,0.115,0.475,0.412,0.375
2744,0.754,0.754,0.754,0.333,0.08,0.527,0.421,0.391
2745,0.774,0.774,0.774,0.172,0.287,0.586,0.432,0.406
2746,0.764,0.764,0.764,0.66,0.294,0.627,0.448,0.411
2747,0.774,0.774,0.774,0.437,0.2,0.666,0.469,0.42
2748,0.764,0.764,0.764,0.329,0.109,0.668,0.493,0.411
2749,0.764,0.764,0.764,0.921,0.034,0.68,0.513,0.42
2750,0.774,0.774,0.774,0.925,0.04,0.672,0.53,0.437
2751,0.764,0.764,0.764,0.89,0.049,0.647,0.528,0.457
2752,0.764,0.764,0.764,0.852,0.066,0.621,0.528,0.467
2753,0.764,0.764,0.764,0.664,0.125,0.563,0.525,0.466
2754,0.33,0.33,0.33,0.232,0.236,0.522,0.504,0.477
2755,0.094,0.094,0.094,0.0,0.392,0.533,0.518,0.489
2756,0.076,0.076,0.076,0.0,0.506,0.592,0.507,0.509
2757,0.084,0.084,0.084,0.0,0.609,0.542,0.481,0.48
2758,0.076,0.076,0.076,0.0,0.668,0.495,0.439,0.442
2759,0.076,0.076,0.076,0.0,0.575,0.445,0.398,0.401
2760,0.076,0.076,0.076,0.0,0.506,0.408,0.371,0.377
2761,0.076,0.076,0.076,0.0,0.43,0.399,0.357,0.364
2762,0.076,0.076,0.076,0.0,0.31,0.392,0.348,0.357
2763,0.076,0.076,0.076,0.0,0.251,0.39,0.343,0.353
2764,0.076,0.076,0.076,0.0,0.16,0.39,0.342,0.352
2765,0.132,0.132,0.132,0.0,0.121,0.392,0.345,0.354
2766,0.274,0.274,0.274,0.289,0.072,0.392,0.348,0.349
2767,0.518,0.518,0.518,0.673,0.047,0.4,0.37,0.354
2768,0.518,0.518,0.518,0.863,0.086,0.423,0.398,0.37
2769,0.764,0.764,0.764,0.929,0.134,0.451,0.421,0.388
2770,0.784,0.784,0.784,0.938,0.175,0.487,0.443,0.4
2771,0.774,0.774,0.774,0.949,0.08,0.488,0.458,0.397
2772,0.774,0.774,0.774,0.962,0.041,0.494,0.471,0.419
2773,0.774,0.774,0.774,0.967,0.032,0.484,0.485,0.43
2774,0.784,0.784,0.784,0.927,0.029,0.472,0.5,0.436
2775,0.774,0.774,0.774,0.852,0.031,0.467,0.512,0.443
2776,0.774,0.774,0.774,0.865,0.24,0.463,0.52,0.441
2777,0.764,0.764,0.764,0.673,0.473,0.459,0.512,0.441
2778,0.764,0.764,0.764,0.238,0.386,0.452,0.485,0.428
2779,0.32,0.32,0.32,0.0,0.2,0.492,0.487,0.451
2780,0.254,0.254,0.254,0.0,0.164,0.531,0.48,0.473
2781,0.246,0.246,0.246,0.0,0.459,0.508,0.447,0.45
2782,0.254,0.254,0.254,0.0,0.271,0.472,0.413,0.42
2783,0.218,0.218,0.218,0.0,0.226,0.418,0.381,0.391
2784,0.188,0.188,0.188,0.0,0.157,0.407,0.36,0.37
2785,0.264,0.264,0.264,0.0,0.165,0.397,0.347,0.358
2786,0.254,0.254,0.254,0.0,0.026,0.392,0.339,0.353
2787,0.264,0.264,0.264,0.0,0.099,0.389,0.334,0.351
2788,0.254,0.254,0.254,0.0,0.246,0.389,0.333,0.349
2789,0.264,0.264,0.264,0.0,0.225,0.389,0.334,0.35
2790,0.264,0.264,0.264,0.254,0.175,0.388,0.333,0.346
2791,0.274,0.274,0.274,0.68,0.129,0.391,0.348,0.348
2792,0.518,0.518,0.518,0.85,0.149,0.398,0.369,0.356
2793,0.566,0.566,0.566,0.974,0.142,0.416,0.386,0.366
2794,0.764,0.764,0.764,0.982,0.198,0.43,0.398,0.372
2795,0.784,0.784,0.784,0.956,0.328,0.438,0.404,0.378
2796,0.774,0.774,0.774,0.976,0.322,0.442,0.408,0.382
2797,0.764,0.764,0.764,0.976,0.321,0.442,0.412,0.383
2798,0.792,0.792,0.792,0.938,0.3,0.44,0.415,0.385
2799,0.764,0.764,0.764,0.923,0.292,0.44,0.417,0.386
2800,0.774,0.774,0.774,0.02,0.26,0.441,0.423,0.385
2801,0.754,0.754,0.754,0.143,0.218,0.447,0.428,0.388
2802,0.764,0.764,0.764,0.106,0.74,0.448,0.425,0.388
2803,0.764,0.764,0.764,0.0,0.661,0.494,0.449,0.414
2804,0.67,0.67,0.67,0.0,0.428,0.549,0.453,0.437
2805,0.5,0.5,0.5,0.0,0.619,0.511,0.429,0.421
2806,0.246,0.246,0.246,0.0,0.771,0.467,0.393,0.396
2807,0.254,0.254,0.254,0.0,0.84,0.422,0.359,0.373
2808,0.254,0.254,0.254,0.0,0.838,0.399,0.344,0.358
2809,0.254,0.254,0.254,0.0,0.858,0.392,0.337,0.353
2810,0.34,0.34,0.34,0.0,0.85,0.389,0.332,0.35
2811,0.51,0.51,0.51,0.0,0.589,0.389,0.332,0.35
2812,0.518,0.518,0.518,0.0,0.37,0.391,0.34,0.35
2813,0.51,0.51,0.51,0.0,0.278,0.407,0.36,0.358
2814,0.528,0.528,0.528,0.318,0.26,0.424,0.387,0.362
2815,0.518,0.518,0.518,0.693,0.194,0.464,0.408,0.369
2816,0.614,0.614,0.614,0.898,0.079,0.52,0.413,0.376
2817,0.784,0.784,0.784,0.938,0.032,0.558,0.415,0.385
2818,0.764,0.764,0.764,0.89,0.003,0.596,0.424,0.395
2819,0.784,0.784,0.784,0.843,0.0,0.627,0.429,0.405
2820,0.774,0.774,0.774,0.868,0.0,0.643,0.436,0.409
2821,0.774,0.774,0.774,0.89,0.0,0.641,0.441,0.419
2822,0.764,0.764,0.764,0.887,0.0,0.642,0.451,0.422
2823,0.764,0.764,0.764,0.916,0.004,0.629,0.461,0.428
2824,0.754,0.754,0.754,0.815,0.026,0.607,0.466,0.43
2825,0.784,0.784,0.784,0.636,0.03,0.576,0.47,0.428
2826,0.754,0.754,0.754,0.243,0.002,0.534,0.462,0.428
2827,0.708,0.708,0.708,0.0,0.004,0.56,0.485,0.46
2828,0.576,0.576,0.576,0.0,0.03,0.611,0.486,0.496
2829,0.51,0.51,0.51,0.0,0.009,0.547,0.458,0.468
2830,0.5,0.5,0.5,0.0,0.016,0.484,0.41,0.424
2831,0.51,0.51,0.51,0.0,0.049,0.447,0.369,0.384
2832,0.51,0.51,0.51,0.0,0.138,0.404,0.351,0.364
2833,0.51,0.51,0.51,0.0,0.223,0.396,0.341,0.357
2834,0.518,0.518,0.518,0.0,0.203,0.391,0.336,0.353
2835,0.51,0.51,0.51,0.0,0.227,0.389,0.337,0.351
2836,0.518,0.518,0.518,0.0,0.516,0.391,0.343,0.354
2837,0.528,0.528,0.528,0.0,0.572,0.404,0.363,0.363
2838,0.774,0.774,0.774,0.325,0.556,0.428,0.389,0.364
2839,0.784,0.784,0.784,0.662,0.314,0.481,0.409,0.376
2840,0.774,0.774,0.774,0.766,0.156,0.529,0.416,0.395
2841,0.774,0.774,0.774,0.857,0.153,0.565,0.422,0.41
2842,0.774,0.774,0.774,0.872,0.065,0.61,0.434,0.422
2843,0.774,0.774,0.774,0.883,0.001,0.628,0.446,0.438
2844,0.784,0.784,0.784,0.881,0.0,0.631,0.453,0.45
2845,0.764,0.764,0.764,0.903,0.0,0.628,0.469,0.463
2846,0.764,0.764,0.764,0.909,0.0,0.627,0.482,0.478
2847,0.784,0.784,0.784,0.868,0.002,0.616,0.5,0.488
2848,0.764,0.764,0.764,0.817,0.006,0.584,0.509,0.493
2849,0.764,0.764,0.764,0.645,0.004,0.575,0.508,0.484
2850,0.774,0.774,0.774,0.201,0.0,0.566,0.496,0.47
2851,0.746,0.746,0.746,0.0,0.0,0.61,0.511,0.5
2852,0.726,0.726,0.726,0.0,0.0,0.634,0.508,0.515
2853,0.49,0.49,0.49,0.0,0.007,0.579,0.473,0.477
2854,0.51,0.51,0.51,0.0,0.012,0.501,0.422,0.432
2855,0.482,0.482,0.482,0.0,0.0,0.436,0.377,0.39
2856,0.274,0.274,0.274,0.0,0.0,0.409,0.358,0.368
2857,0.528,0.528,0.528,0.0,0.004,0.397,0.348,0.359
2858,0.51,0.51,0.51,0.0,0.167,0.391,0.342,0.354
2859,0.51,0.51,0.51,0.0,0.256,0.39,0.34,0.352
2860,0.528,0.528,0.528,0.0,0.224,0.392,0.347,0.353
2861,0.51,0.51,0.51,0.0,0.148,0.407,0.365,0.36
2862,0.518,0.518,0.518,0.291,0.13,0.432,0.393,0.362
2863,0.518,0.518,0.518,0.545,0.066,0.484,0.415,0.373
2864,0.518,0.518,0.518,0.737,0.038,0.54,0.423,0.391
2865,0.518,0.518,0.518,0.87,0.144,0.585,0.433,0.414
2866,0.518,0.518,0.518,0.89,0.162,0.624,0.444,0.427
2867,0.754,0.754,0.754,0.786,0.127,0.643,0.458,0.439
2868,0.764,0.764,0.764,0.609,0.08,0.643,0.471,0.438
2869,0.784,0.784,0.784,0.556,0.108,0.646,0.486,0.45
2870,0.774,0.774,0.774,0.236,0.109,0.642,0.502,0.462
2871,0.774,0.774,0.774,0.254,0.107,0.627,0.521,0.465
2872,0.784,0.784,0.784,0.002,0.156,0.606,0.534,0.461
2873,0.49,0.49,0.49,0.254,0.195,0.574,0.531,0.448
2874,0.482,0.482,0.482,0.254,0.378,0.562,0.505,0.445
2875,0.312,0.312,0.312,0.0,0.363,0.615,0.516,0.492
2876,0.254,0.254,0.254,0.0,0.516,0.631,0.51,0.524
2877,0.254,0.254,0.254,0.0,0.456,0.575,0.479,0.483
2878,0.254,0.254,0.254,0.0,0.34,0.508,0.426,0.431
2879,0.15,0.15,0.15,0.0,0.169,0.441,0.382,0.393
2880,0.254,0.254,0.254,0.0,0.156,0.41,0.361,0.371
2881,0.254,0.254,0.254,0.0,0.086,0.398,0.347,0.36
2882,0.264,0.264,0.264,0.0,0.049,0.392,0.342,0.355
2883,0.264,0.264,0.264,0.0,0.051,0.39,0.34,0.353
2884,0.254,0.254,0.254,0.0,0.013,0.392,0.345,0.354
2885,0.264,0.264,0.264,0.0,0.009,0.403,0.364,0.364
2886,0.274,0.274,0.274,0.21,0.014,0.434,0.39,0.371
2887,0.528,0.528,0.528,0.243,0.007,0.5,0.413,0.381
2888,0.51,0.51,0.51,0.45,0.025,0.556,0.419,0.395
2889,0.528,0.528,0.528,0.682,0.026,0.616,0.425,0.416
2890,0.538,0.538,0.538,0.307,0.004,0.649,0.431,0.434
2891,0.774,0.774,0.774,0.578,0.005,0.669,0.434,0.446
2892,0.774,0.774,0.774,0.779,0.004,0.673,0.438,0.457
2893,0.784,0.784,0.784,0.854,0.001,0.681,0.442,0.456
2894,0.764,0.764,0.764,0.684,0.0,0.681,0.443,0.437
2895,0.764,0.764,0.764,0.104,0.0,0.664,0.441,0.435
2896,0.774,0.774,0.774,0.351,0.0,0.639,0.432,0.437
2897,0.764,0.764,0.764,0.3,0.0,0.589,0.429,0.432
2898,0.754,0.754,0.754,0.243,0.0,0.552,0.429,0.443
2899,0.764,0.764,0.764,0.0,0.0,0.573,0.454,0.478
2900,0.736,0.736,0.736,0.0,0.003,0.63,0.453,0.49
2901,0.51,0.51,0.51,0.0,0.006,0.582,0.434,0.46
2902,0.5,0.5,0.5,0.0,0.005,0.503,0.398,0.418
2903,0.264,0.264,0.264,0.0,0.007,0.444,0.363,0.386
2904,0.218,0.218,0.218,0.0,0.007,0.41,0.348,0.367
2905,0.264,0.264,0.264,0.0,0.003,0.404,0.329,0.334
2906,0.254,0.254,0.254,0.0,0.005,0.391,0.325,0.327
2907,0.254,0.254,0.254,0.0,0.0,0.388,0.323,0.323
2908,0.264,0.264,0.264,0.0,0.0,0.394,0.33,0.326
2909,0.254,0.254,0.254,0.0,0.0,0.414,0.351,0.336
2910,0.274,0.274,0.274,0.364,0.0,0.453,0.376,0.337
2911,0.518,0.518,0.518,0.656,0.0,0.5,0.394,0.352
2912,0.518,0.518,0.518,0.786,0.0,0.534,0.397,0.368
2913,0.518,0.518,0.518,0.81,0.0,0.556,0.397,0.387
2914,0.556,0.556,0.556,0.852,0.0,0.578,0.399,0.396
2915,0.774,0.774,0.774,0.857,0.0,0.587,0.4,0.41
2916,0.764,0.764,0.764,0.874,0.0,0.588,0.398,0.422
2917,0.792,0.792,0.792,0.863,0.0,0.588,0.396,0.436
2918,0.764,0.764,0.764,0.823,0.0,0.582,0.401,0.448
2919,0.784,0.784,0.784,0.828,0.0,0.568,0.404,0.462
2920,0.774,0.774,0.774,0.753,0.0,0.555,0.41,0.472
2921,0.784,0.784,0.784,0.634,0.0,0.543,0.41,0.476
2922,0.774,0.774,0.774,0.263,0.0,0.529,0.405,0.471
2923,0.604,0.604,0.604,0.0,0.0,0.547,0.421,0.478
2924,0.5,0.5,0.5,0.0,0.0,0.559,0.425,0.481
2925,0.254,0.254,0.254,0.0,0.0,0.536,0.413,0.461
2926,0.16,0.16,0.16,0.0,0.002,0.504,0.388,0.436
2927,0.254,0.254,0.254,0.0,0.0,0.467,0.36,0.405
2928,0.254,0.254,0.254,0.0,0.0,0.433,0.34,0.378
2929,0.254,0.254,0.254,0.0,0.0,0.411,0.33,0.361
2930,0.254,0.254,0.254,0.0,0.0,0.399,0.322,0.347
2931,0.264,0.264,0.264,0.0,0.0,0.391,0.319,0.34
2932,0.284,0.284,0.284,0.0,0.007,0.389,0.32,0.335
2933,0.528,0.528,0.528,0.0,0.026,0.4,0.323,0.333
2934,0.5,0.5,0.5,0.364,0.053,0.398,0.33,0.326
2935,0.51,0.51,0.51,0.649,0.03,0.414,0.349,0.34
2936,0.538,0.538,0.538,0.77,0.041,0.446,0.371,0.365
2937,0.726,0.726,0.726,0.797,0.025,0.483,0.389,0.381
2938,0.746,0.746,0.746,0.839,0.011,0.502,0.404,0.411
2939,0.746,0.746,0.746,0.799,0.011,0.513,0.412,0.425
2940,0.726,0.726,0.726,0.826,0.002,0.515,0.421,0.439
2941,0.754,0.754,0.754,0.832,0.001,0.507,0.429,0.45
2942,0.736,0.736,0.736,0.87,0.1,0.503,0.44,0.463
2943,0.736,0.736,0.736,0.828,0.119,0.495,0.452,0.478
2944,0.716,0.716,0.716,0.788,0.131,0.49,0.463,0.49
2945,0.312,0.312,0.312,0.629,0.231,0.487,0.467,0.494
2946,0.254,0.254,0.254,0.258,0.042,0.484,0.46,0.484
2947,0.246,0.246,0.246,0.0,0.034,0.498,0.464,0.484
2948,0.18,0.18,0.18,0.0,0.249,0.526,0.463,0.486
2949,0.094,0.094,0.094,0.0,0.185,0.511,0.438,0.469
2950,0.254,0.254,0.254,0.0,0.345,0.485,0.409,0.445
2951,0.264,0.264,0.264,0.0,0.371,0.452,0.375,0.415
2952,0.254,0.254,0.254,0.0,0.41,0.415,0.356,0.387
2953,0.264,0.264,0.264,0.0,0.454,0.397,0.339,0.366
2954,0.246,0.246,0.246,0.0,0.463,0.382,0.329,0.351
2955,0.254,0.254,0.254,0.0,0.617,0.375,0.322,0.341
2956,0.254,0.254,0.254,0.0,0.316,0.373,0.32,0.337
2957,0.264,0.264,0.264,0.0,0.299,0.375,0.318,0.333
2958,0.254,0.254,0.254,0.369,0.392,0.373,0.32,0.321
2959,0.51,0.51,0.51,0.684,0.243,0.381,0.34,0.336
2960,0.688,0.688,0.688,0.83,0.013,0.403,0.366,0.361
2961,0.736,0.736,0.736,0.857,0.029,0.43,0.393,0.391
2962,0.736,0.736,0.736,0.79,0.022,0.447,0.417,0.419
2963,0.754,0.754,0.754,0.828,0.04,0.465,0.442,0.443
2964,0.726,0.726,0.726,0.854,0.04,0.471,0.467,0.462
2965,0.736,0.736,0.736,0.843,0.034,0.479,0.487,0.48
2966,0.746,0.746,0.746,0.828,0.044,0.483,0.508,0.499
2967,0.736,0.736,0.736,0.821,0.036,0.484,0.524,0.515
2968,0.736,0.736,0.736,0.777,0.034,0.482,0.542,0.525
2969,0.746,0.746,0.746,0.62,0.036,0.479,0.547,0.518
2970,0.736,0.736,0.736,0.258,0.045,0.482,0.534,0.488
2971,0.736,0.736,0.736,0.0,0.072,0.502,0.53,0.495
2972,0.482,0.482,0.482,0.0,0.106,0.533,0.519,0.508
2973,0.246,0.246,0.246,0.0,0.133,0.515,0.484,0.488
2974,0.254,0.254,0.254,0.0,0.14,0.48,0.439,0.454
2975,0.254,0.254,0.254,0.0,0.392,0.44,0.394,0.417
2976,0.246,0.246,0.246,0.0,0.27,0.412,0.375,0.387
2977,0.254,0.254,0.254,0.0,0.194,0.395,0.354,0.368
2978,0.264,0.264,0.264,0.0,0.21,0.382,0.345,0.356
2979,0.254,0.254,0.254,0.0,0.256,0.379,0.339,0.347
2980,0.264,0.264,0.264,0.0,0.206,0.383,0.345,0.345
2981,0.264,0.264,0.264,0.0,0.248,0.406,0.362,0.348
2982,0.528,0.528,0.528,0.366,0.208,0.437,0.39,0.352
2983,0.746,0.746,0.746,0.62,0.183,0.476,0.42,0.378
2984,0.764,0.764,0.764,0.766,0.181,0.513,0.444,0.405
2985,0.746,0.746,0.746,0.823,0.052,0.543,0.466,0.44
2986,0.736,0.736,0.736,0.781,0.008,0.565,0.495,0.472
2987,0.736,0.736,0.736,0.777,0.003,0.578,0.522,0.499
2988,0.726,0.726,0.726,0.823,0.062,0.588,0.55,0.519
2989,0.726,0.726,0.726,0.865,0.49,0.602,0.578,0.538
2990,0.746,0.746,0.746,0.85,0.535,0.606,0.601,0.562
2991,0.736,0.736,0.736,0.826,0.485,0.602,0.613,0.564
2992,0.632,0.632,0.632,0.773,0.489,0.594,0.626,0.565
2993,0.736,0.736,0.736,0.611,0.594,0.574,0.626,0.577
2994,0.698,0.698,0.698,0.256,0.986,0.553,0.605,0.563
2995,0.518,0.518,0.518,0.0,0.908,0.559,0.595,0.566
2996,0.51,0.51,0.51,0.0,0.841,0.582,0.574,0.571
2997,0.254,0.254,0.254,0.0,0.741,0.553,0.534,0.535
2998,0.264,0.264,0.264,0.0,0.763,0.506,0.477,0.484
2999,0.254,0.254,0.254,0.0,0.689,0.46,0.424,0.439
3000,0.264,0.264,0.264,0.0,0.669,0.429,0.393,0.404
3001,0.254,0.254,0.254,0.0,0.593,0.412,0.371,0.381
3002,0.264,0.264,0.264,0.0,0.412,0.398,0.357,0.367
3003,0.254,0.254,0.254,0.0,0.327,0.393,0.351,0.359
3004,0.264,0.264,0.264,0.0,0.197,0.397,0.355,0.357
3005,0.264,0.264,0.264,0.0,0.075,0.423,0.372,0.363
3006,0.254,0.254,0.254,0.366,0.063,0.457,0.399,0.368
