timestep,Hydro 01_inflow,Hydro 02_inflow,Hydro 03_inflow,Hydro 04_inflow,Hydro 05_inflow,Hydro 06_inflow,Hydro 07_inflow,Hydro 08_inflow,Hydro 09_inflow,Hydro 10_inflow,Hydro 11_inflow,Hydro 12_inflow,Hydro 13_inflow,Hydro 14_inflow,Hydro 15_inflow,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 36,Hydro 37,Hydro 38,Hydro 39,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Solar 01,Solar 02,Solar 03,Solar 04,Solar 05,Solar 06,Solar 07,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,bus070_Demand,bus031_Demand,bus048_Demand,bus055_Demand,bus004_Demand,bus104_Demand,bus043_Demand,bus074_Demand,bus017_Demand,bus076_Demand,bus040_Demand,bus064_Demand,bus114_Demand,bus032_Demand,bus054_Demand,bus021_Demand,bus116_Demand,bus091_Demand,bus096_Demand,bus037_Demand,bus016_Demand,bus112_Demand,bus012_Demand,bus022_Demand,bus045_Demand,bus067_Demand,bus009_Demand,bus058_Demand,bus003_Demand,bus051_Demand,bus056_Demand,bus099_Demand,bus100_Demand,bus105_Demand,bus109_Demand,bus110_Demand,bus019_Demand,bus039_Demand,bus084_Demand,bus081_Demand,bus036_Demand,bus089_Demand,bus063_Demand,bus098_Demand,bus046_Demand,bus006_Demand,bus052_Demand,bus065_Demand,bus010_Demand,bus028_Demand,bus073_Demand,bus034_Demand,bus115_Demand,bus068_Demand,bus020_Demand,bus044_Demand,bus072_Demand,bus086_Demand,bus033_Demand,bus079_Demand,bus062_Demand,bus087_Demand,bus001_Demand,bus029_Demand,bus101_Demand,bus102_Demand,bus090_Demand,bus053_Demand,bus013_Demand,bus083_Demand,bus097_Demand,bus041_Demand,bus005_Demand,bus078_Demand,bus093_Demand,bus038_Demand,bus002_Demand,bus103_Demand,bus049_Demand,bus082_Demand,bus094_Demand,bus117_Demand,bus018_Demand,bus023_Demand,bus080_Demand,bus092_Demand,bus015_Demand,bus057_Demand,bus011_Demand,bus108_Demand,bus085_Demand,bus008_Demand,bus075_Demand,bus077_Demand,bus042_Demand,bus024_Demand,bus025_Demand,bus030_Demand,bus088_Demand,bus106_Demand,bus014_Demand,bus047_Demand,bus095_Demand,bus111_Demand,bus061_Demand,bus118_Demand,bus066_Demand,bus069_Demand,bus113_Demand,bus027_Demand,bus071_Demand,bus035_Demand,bus060_Demand,bus007_Demand,bus026_Demand,bus107_Demand,bus050_Demand,bus059_Demand
3244,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.727,0.727,0.727,0.083,0.023,0.023,0.023,0.0,0.0,0.099,0.099,0.099,0.0,0.0,0.727,0.727,0.727,0.044,0.044,0.727,0.084,0.084,0.106,0.106,0.031,0.084,0.084,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.013,0.188,0.133,0.013,0.044,0.017,0.013,0.014,0.014,0.008,0.095,0.055,0.398,0.642,0.664,0.265,0.307,0.545,0.307,0.307,0.545,0.453,0.307,0.307,0.545,0.307,0.545,0.307,0.453,0.545,0.307,0.545,0.453,0.453,0.453,0.545,0.545,0.453,0.545,0.545,0.307,0.307,0.545,0.307,0.545,0.307,0.307,0.453,0.453,0.453,0.453,0.453,0.545,0.545,0.307,0.307,0.545,0.307,0.307,0.453,0.307,0.545,0.307,0.307,0.545,0.545,0.307,0.545,0.453,0.307,0.545,0.307,0.307,0.307,0.545,0.307,0.307,0.307,0.545,0.545,0.453,0.453,0.307,0.307,0.545,0.307,0.453,0.545,0.545,0.307,0.453,0.545,0.545,0.453,0.307,0.307,0.453,0.453,0.545,0.545,0.307,0.453,0.545,0.307,0.545,0.453,0.307,0.545,0.307,0.307,0.545,0.545,0.545,0.545,0.307,0.453,0.545,0.307,0.453,0.453,0.307,0.453,0.307,0.307,0.453,0.545,0.307,0.545,0.307,0.545,0.545,0.453,0.307,0.307
3245,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.726,0.726,0.726,0.083,0.024,0.024,0.024,0.0,0.0,0.099,0.099,0.099,0.0,0.0,0.726,0.726,0.726,0.044,0.044,0.726,0.084,0.084,0.106,0.106,0.035,0.082,0.082,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.015,0.214,0.162,0.017,0.039,0.012,0.02,0.021,0.02,0.006,0.098,0.052,0.422,0.657,0.645,0.21,0.344,0.568,0.344,0.344,0.568,0.515,0.344,0.344,0.568,0.344,0.568,0.344,0.515,0.568,0.344,0.568,0.515,0.515,0.515,0.568,0.568,0.515,0.568,0.568,0.344,0.344,0.568,0.344,0.568,0.344,0.344,0.515,0.515,0.515,0.515,0.515,0.568,0.568,0.344,0.344,0.568,0.344,0.344,0.515,0.344,0.568,0.344,0.344,0.568,0.568,0.344,0.568,0.515,0.344,0.568,0.344,0.344,0.344,0.568,0.344,0.344,0.344,0.568,0.568,0.515,0.515,0.344,0.344,0.568,0.344,0.515,0.568,0.568,0.344,0.515,0.568,0.568,0.515,0.344,0.344,0.515,0.515,0.568,0.568,0.344,0.515,0.568,0.344,0.568,0.515,0.344,0.568,0.344,0.344,0.568,0.568,0.568,0.568,0.344,0.515,0.568,0.344,0.515,0.515,0.344,0.515,0.344,0.344,0.515,0.568,0.344,0.568,0.344,0.568,0.568,0.515,0.344,0.344
3246,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.725,0.725,0.725,0.083,0.019,0.019,0.019,0.0,0.0,0.099,0.099,0.099,0.0,0.0,0.725,0.725,0.725,0.044,0.044,0.725,0.084,0.084,0.106,0.106,0.038,0.082,0.082,0.07,0.008,0.016,0.006,0.011,0.011,0.013,0.011,0.011,0.011,0.0,0.011,0.011,0.011,0.011,0.011,0.006,0.011,0.011,0.011,0.0,0.011,0.0,0.011,0.011,0.011,0.011,0.006,0.0,0.0,0.008,0.046,0.044,0.044,0.037,0.032,0.036,0.025,0.017,0.014,0.014,0.014,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.013,0.017,0.013,0.017,0.013,0.013,0.013,0.013,0.013,0.017,0.017,0.017,0.015,0.006,0.008,0.005,0.011,0.006,0.022,0.027,0.024,0.125,0.024,0.017,0.012,0.01,0.014,0.018,0.244,0.194,0.022,0.033,0.009,0.027,0.031,0.027,0.007,0.101,0.049,0.447,0.667,0.642,0.16,0.389,0.608,0.389,0.389,0.608,0.57,0.389,0.389,0.608,0.389,0.608,0.389,0.57,0.608,0.389,0.608,0.57,0.57,0.57,0.608,0.608,0.57,0.608,0.608,0.389,0.389,0.608,0.389,0.608,0.389,0.389,0.57,0.57,0.57,0.57,0.57,0.608,0.608,0.389,0.389,0.608,0.389,0.389,0.57,0.389,0.608,0.389,0.389,0.608,0.608,0.389,0.608,0.57,0.389,0.608,0.389,0.389,0.389,0.608,0.389,0.389,0.389,0.608,0.608,0.57,0.57,0.389,0.389,0.608,0.389,0.57,0.608,0.608,0.389,0.57,0.608,0.608,0.57,0.389,0.389,0.57,0.57,0.608,0.608,0.389,0.57,0.608,0.389,0.608,0.57,0.389,0.608,0.389,0.389,0.608,0.608,0.608,0.608,0.389,0.57,0.608,0.389,0.57,0.57,0.389,0.57,0.389,0.389,0.57,0.608,0.389,0.608,0.389,0.608,0.608,0.57,0.389,0.389
3247,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.725,0.725,0.725,0.083,0.028,0.028,0.028,0.0,0.0,0.099,0.099,0.099,0.0,0.0,0.725,0.725,0.725,0.044,0.044,0.725,0.084,0.084,0.106,0.106,0.039,0.081,0.081,0.071,0.119,0.146,0.102,0.115,0.113,0.165,0.117,0.115,0.115,0.011,0.115,0.115,0.117,0.115,0.115,0.096,0.115,0.115,0.115,0.011,0.115,0.053,0.117,0.115,0.115,0.115,0.096,0.053,0.053,0.136,0.231,0.227,0.232,0.202,0.202,0.202,0.192,0.163,0.127,0.127,0.127,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.146,0.125,0.105,0.125,0.105,0.125,0.124,0.124,0.125,0.125,0.129,0.105,0.153,0.15,0.095,0.127,0.078,0.112,0.095,0.214,0.177,0.175,0.365,0.147,0.161,0.111,0.092,0.014,0.023,0.277,0.229,0.038,0.035,0.01,0.042,0.047,0.044,0.009,0.112,0.056,0.473,0.676,0.654,0.122,0.406,0.636,0.406,0.406,0.636,0.577,0.406,0.406,0.636,0.406,0.636,0.406,0.577,0.636,0.406,0.636,0.577,0.577,0.577,0.636,0.636,0.577,0.636,0.636,0.406,0.406,0.636,0.406,0.636,0.406,0.406,0.577,0.577,0.577,0.577,0.577,0.636,0.636,0.406,0.406,0.636,0.406,0.406,0.577,0.406,0.636,0.406,0.406,0.636,0.636,0.406,0.636,0.577,0.406,0.636,0.406,0.406,0.406,0.636,0.406,0.406,0.406,0.636,0.636,0.577,0.577,0.406,0.406,0.636,0.406,0.577,0.636,0.636,0.406,0.577,0.636,0.636,0.577,0.406,0.406,0.577,0.577,0.636,0.636,0.406,0.577,0.636,0.406,0.636,0.577,0.406,0.636,0.406,0.406,0.636,0.636,0.636,0.636,0.406,0.577,0.636,0.406,0.577,0.577,0.406,0.577,0.406,0.406,0.577,0.636,0.406,0.636,0.406,0.636,0.636,0.577,0.406,0.406
3248,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.721,0.721,0.721,0.083,0.053,0.053,0.053,0.0,0.0,0.098,0.098,0.098,0.0,0.0,0.721,0.721,0.721,0.045,0.045,0.721,0.084,0.084,0.106,0.106,0.043,0.08,0.08,0.078,0.33,0.389,0.369,0.191,0.187,0.451,0.194,0.191,0.191,0.211,0.191,0.19,0.194,0.191,0.191,0.302,0.191,0.191,0.191,0.211,0.191,0.199,0.194,0.191,0.191,0.191,0.302,0.199,0.199,0.427,0.51,0.502,0.49,0.445,0.463,0.479,0.466,0.47,0.312,0.312,0.312,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.354,0.307,0.322,0.307,0.322,0.307,0.358,0.358,0.307,0.307,0.29,0.322,0.376,0.477,0.483,0.646,0.399,0.456,0.483,0.471,0.613,0.633,0.653,0.465,0.694,0.78,0.294,0.016,0.034,0.307,0.261,0.061,0.048,0.01,0.064,0.07,0.071,0.01,0.142,0.08,0.499,0.685,0.667,0.112,0.416,0.681,0.416,0.416,0.681,0.59,0.416,0.416,0.681,0.416,0.681,0.416,0.59,0.681,0.416,0.681,0.59,0.59,0.59,0.681,0.681,0.59,0.681,0.681,0.416,0.416,0.681,0.416,0.681,0.416,0.416,0.59,0.59,0.59,0.59,0.59,0.681,0.681,0.416,0.416,0.681,0.416,0.416,0.59,0.416,0.681,0.416,0.416,0.681,0.681,0.416,0.681,0.59,0.416,0.681,0.416,0.416,0.416,0.681,0.416,0.416,0.416,0.681,0.681,0.59,0.59,0.416,0.416,0.681,0.416,0.59,0.681,0.681,0.416,0.59,0.681,0.681,0.59,0.416,0.416,0.59,0.59,0.681,0.681,0.416,0.59,0.681,0.416,0.681,0.59,0.416,0.681,0.416,0.416,0.681,0.681,0.681,0.681,0.416,0.59,0.681,0.416,0.59,0.59,0.416,0.59,0.416,0.416,0.59,0.681,0.416,0.681,0.416,0.681,0.681,0.59,0.416,0.416
3249,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.72,0.72,0.72,0.083,0.054,0.054,0.054,0.0,0.0,0.098,0.098,0.098,0.002,0.002,0.72,0.72,0.72,0.045,0.045,0.72,0.084,0.084,0.106,0.106,0.043,0.08,0.08,0.079,0.491,0.465,0.574,0.496,0.486,0.621,0.502,0.496,0.496,0.091,0.496,0.494,0.504,0.495,0.496,0.395,0.496,0.496,0.495,0.091,0.495,0.434,0.502,0.494,0.495,0.494,0.396,0.434,0.434,0.559,0.744,0.753,0.661,0.674,0.687,0.714,0.714,0.675,0.407,0.407,0.407,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.541,0.4,0.543,0.4,0.543,0.4,0.514,0.514,0.4,0.4,0.449,0.543,0.521,0.785,0.661,0.885,0.546,0.653,0.661,0.422,0.795,0.861,0.771,0.639,0.807,0.834,0.051,0.017,0.044,0.335,0.291,0.072,0.06,0.009,0.075,0.083,0.083,0.009,0.174,0.107,0.525,0.696,0.68,0.13,0.428,0.703,0.428,0.428,0.703,0.602,0.428,0.428,0.703,0.428,0.703,0.428,0.602,0.703,0.428,0.703,0.602,0.602,0.602,0.703,0.703,0.602,0.703,0.703,0.428,0.428,0.703,0.428,0.703,0.428,0.428,0.602,0.602,0.602,0.602,0.602,0.703,0.703,0.428,0.428,0.703,0.428,0.428,0.602,0.428,0.703,0.428,0.428,0.703,0.703,0.428,0.703,0.602,0.428,0.703,0.428,0.428,0.428,0.703,0.428,0.428,0.428,0.703,0.703,0.602,0.602,0.428,0.428,0.703,0.428,0.602,0.703,0.703,0.428,0.602,0.703,0.703,0.602,0.428,0.428,0.602,0.602,0.703,0.703,0.428,0.602,0.703,0.428,0.703,0.602,0.428,0.703,0.428,0.428,0.703,0.703,0.703,0.703,0.428,0.602,0.703,0.428,0.602,0.602,0.428,0.602,0.428,0.428,0.602,0.703,0.428,0.703,0.428,0.703,0.703,0.602,0.428,0.428
3250,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.721,0.721,0.721,0.083,0.059,0.059,0.059,0.0,0.0,0.098,0.098,0.098,0.063,0.063,0.721,0.721,0.721,0.044,0.044,0.721,0.084,0.084,0.106,0.106,0.044,0.08,0.08,0.081,0.57,0.717,0.73,0.505,0.495,0.565,0.512,0.505,0.505,0.06,0.506,0.503,0.513,0.505,0.505,0.423,0.505,0.505,0.505,0.06,0.505,0.449,0.511,0.503,0.504,0.504,0.423,0.45,0.449,0.598,0.956,0.952,0.806,0.792,0.828,0.846,0.733,0.794,0.559,0.559,0.559,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.556,0.55,0.564,0.55,0.564,0.55,0.605,0.605,0.55,0.55,0.627,0.564,0.69,0.991,0.833,1.0,0.688,0.861,0.833,0.641,0.859,0.686,0.868,0.627,1.0,1.0,0.092,0.019,0.049,0.358,0.317,0.075,0.07,0.01,0.078,0.087,0.087,0.009,0.198,0.126,0.548,0.705,0.686,0.151,0.436,0.707,0.436,0.436,0.707,0.601,0.436,0.436,0.707,0.436,0.707,0.436,0.601,0.707,0.436,0.707,0.601,0.601,0.601,0.707,0.707,0.601,0.707,0.707,0.436,0.436,0.707,0.436,0.707,0.436,0.436,0.601,0.601,0.601,0.601,0.601,0.707,0.707,0.436,0.436,0.707,0.436,0.436,0.601,0.436,0.707,0.436,0.436,0.707,0.707,0.436,0.707,0.601,0.436,0.707,0.436,0.436,0.436,0.707,0.436,0.436,0.436,0.707,0.707,0.601,0.601,0.436,0.436,0.707,0.436,0.601,0.707,0.707,0.436,0.601,0.707,0.707,0.601,0.436,0.436,0.601,0.601,0.707,0.707,0.436,0.601,0.707,0.436,0.707,0.601,0.436,0.707,0.436,0.436,0.707,0.707,0.707,0.707,0.436,0.601,0.707,0.436,0.601,0.601,0.436,0.601,0.436,0.436,0.601,0.707,0.436,0.707,0.436,0.707,0.707,0.601,0.436,0.436
3251,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.72,0.72,0.72,0.083,0.059,0.059,0.059,0.0,0.0,0.098,0.098,0.098,0.066,0.066,0.72,0.72,0.72,0.043,0.043,0.72,0.084,0.084,0.106,0.106,0.043,0.08,0.08,0.079,0.706,0.836,0.766,0.474,0.464,0.658,0.481,0.474,0.474,0.098,0.475,0.473,0.482,0.474,0.474,0.441,0.474,0.474,0.474,0.098,0.474,0.5,0.48,0.473,0.474,0.473,0.442,0.5,0.5,0.624,1.0,1.0,0.893,0.891,0.914,0.956,0.935,0.959,0.684,0.684,0.684,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.709,0.673,0.756,0.673,0.757,0.673,0.73,0.73,0.673,0.673,0.716,0.756,0.791,1.0,0.907,1.0,0.749,0.812,0.907,0.741,0.912,0.75,0.653,0.926,1.0,1.0,0.275,0.021,0.054,0.378,0.34,0.08,0.077,0.012,0.084,0.094,0.094,0.01,0.215,0.139,0.569,0.71,0.684,0.167,0.437,0.709,0.437,0.437,0.709,0.59,0.437,0.437,0.709,0.437,0.709,0.437,0.59,0.709,0.437,0.709,0.59,0.59,0.59,0.709,0.709,0.59,0.709,0.709,0.437,0.437,0.709,0.437,0.709,0.437,0.437,0.59,0.59,0.59,0.59,0.59,0.709,0.709,0.437,0.437,0.709,0.437,0.437,0.59,0.437,0.709,0.437,0.437,0.709,0.709,0.437,0.709,0.59,0.437,0.709,0.437,0.437,0.437,0.709,0.437,0.437,0.437,0.709,0.709,0.59,0.59,0.437,0.437,0.709,0.437,0.59,0.709,0.709,0.437,0.59,0.709,0.709,0.59,0.437,0.437,0.59,0.59,0.709,0.709,0.437,0.59,0.709,0.437,0.709,0.59,0.437,0.709,0.437,0.437,0.709,0.709,0.709,0.709,0.437,0.59,0.709,0.437,0.59,0.59,0.437,0.59,0.437,0.437,0.59,0.709,0.437,0.709,0.437,0.709,0.709,0.59,0.437,0.437
3252,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.72,0.72,0.72,0.083,0.059,0.059,0.059,0.0,0.0,0.098,0.098,0.098,0.066,0.066,0.72,0.72,0.72,0.043,0.043,0.72,0.084,0.084,0.106,0.106,0.04,0.08,0.08,0.074,0.771,0.856,0.789,0.434,0.425,0.705,0.439,0.433,0.433,0.136,0.434,0.432,0.441,0.433,0.433,0.126,0.434,0.433,0.433,0.136,0.433,0.147,0.439,0.432,0.433,0.432,0.126,0.147,0.147,0.178,1.0,1.0,0.942,0.94,0.995,1.0,0.953,1.0,0.733,0.733,0.733,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.723,0.721,0.849,0.721,0.849,0.721,0.889,0.889,0.721,0.721,0.757,0.848,0.82,1.0,0.888,1.0,0.733,0.519,0.888,0.824,0.994,0.98,0.731,0.992,1.0,0.645,0.417,0.031,0.064,0.396,0.358,0.092,0.083,0.02,0.097,0.105,0.106,0.017,0.228,0.147,0.587,0.704,0.685,0.205,0.446,0.716,0.446,0.446,0.716,0.586,0.446,0.446,0.716,0.446,0.716,0.446,0.586,0.716,0.446,0.716,0.586,0.586,0.586,0.716,0.716,0.586,0.716,0.716,0.446,0.446,0.716,0.446,0.716,0.446,0.446,0.586,0.586,0.586,0.586,0.586,0.716,0.716,0.446,0.446,0.716,0.446,0.446,0.586,0.446,0.716,0.446,0.446,0.716,0.716,0.446,0.716,0.586,0.446,0.716,0.446,0.446,0.446,0.716,0.446,0.446,0.446,0.716,0.716,0.586,0.586,0.446,0.446,0.716,0.446,0.586,0.716,0.716,0.446,0.586,0.716,0.716,0.586,0.446,0.446,0.586,0.586,0.716,0.716,0.446,0.586,0.716,0.446,0.716,0.586,0.446,0.716,0.446,0.446,0.716,0.716,0.716,0.716,0.446,0.586,0.716,0.446,0.586,0.586,0.446,0.586,0.446,0.446,0.586,0.716,0.446,0.716,0.446,0.716,0.716,0.586,0.446,0.446
3253,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.721,0.721,0.721,0.083,0.059,0.059,0.059,0.0,0.0,0.098,0.098,0.098,0.066,0.066,0.721,0.721,0.721,0.043,0.043,0.721,0.084,0.084,0.106,0.106,0.038,0.08,0.08,0.07,0.903,0.818,0.686,0.421,0.412,0.765,0.427,0.421,0.421,0.09,0.421,0.419,0.428,0.421,0.421,0.168,0.421,0.421,0.421,0.09,0.421,0.286,0.426,0.42,0.42,0.42,0.168,0.286,0.286,0.237,1.0,1.0,0.935,0.937,0.996,1.0,0.956,1.0,0.815,0.815,0.815,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.725,0.802,0.835,0.802,0.835,0.801,0.86,0.859,0.802,0.802,0.756,0.835,0.812,1.0,0.94,1.0,0.777,0.596,0.94,0.844,1.0,1.0,0.947,0.906,1.0,0.58,0.35,0.06,0.08,0.402,0.359,0.116,0.088,0.044,0.123,0.125,0.127,0.035,0.235,0.149,0.598,0.68,0.691,0.28,0.445,0.7,0.445,0.445,0.7,0.57,0.445,0.445,0.7,0.445,0.7,0.445,0.57,0.7,0.445,0.7,0.57,0.57,0.57,0.7,0.7,0.57,0.7,0.7,0.445,0.445,0.7,0.445,0.7,0.445,0.445,0.57,0.57,0.57,0.57,0.57,0.7,0.7,0.445,0.445,0.7,0.445,0.445,0.57,0.445,0.7,0.445,0.445,0.7,0.7,0.445,0.7,0.57,0.445,0.7,0.445,0.445,0.445,0.7,0.445,0.445,0.445,0.7,0.7,0.57,0.57,0.445,0.445,0.7,0.445,0.57,0.7,0.7,0.445,0.57,0.7,0.7,0.57,0.445,0.445,0.57,0.57,0.7,0.7,0.445,0.57,0.7,0.445,0.7,0.57,0.445,0.7,0.445,0.445,0.7,0.7,0.7,0.7,0.445,0.57,0.7,0.445,0.57,0.57,0.445,0.57,0.445,0.445,0.57,0.7,0.445,0.7,0.445,0.7,0.7,0.57,0.445,0.445
3254,1.0,1.0,1.0,1.0,0.242,0.755,0.755,0.755,0.755,0.755,1.0,1.0,1.0,1.0,1.0,0.721,0.721,0.721,0.084,0.058,0.058,0.058,0.0,0.0,0.098,0.098,0.098,0.066,0.066,0.721,0.721,0.721,0.043,0.043,0.721,0.084,0.084,0.106,0.106,0.043,0.08,0.08,0.079,0.969,0.818,0.618,0.524,0.513,0.827,0.531,0.524,0.524,0.127,0.525,0.522,0.533,0.524,0.524,0.208,0.524,0.524,0.524,0.127,0.524,0.157,0.53,0.522,0.524,0.523,0.209,0.157,0.157,0.295,1.0,1.0,0.889,0.898,0.927,0.928,0.887,1.0,0.743,0.743,0.743,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.673,0.731,0.772,0.731,0.772,0.73,0.767,0.767,0.731,0.731,0.698,0.772,0.758,0.833,0.579,0.774,0.478,0.502,0.579,0.747,0.945,0.984,0.849,0.926,1.0,0.69,0.0,0.102,0.104,0.396,0.345,0.152,0.092,0.08,0.161,0.154,0.157,0.063,0.236,0.144,0.602,0.644,0.703,0.382,0.449,0.7,0.449,0.449,0.7,0.564,0.449,0.449,0.7,0.449,0.7,0.449,0.564,0.7,0.449,0.7,0.564,0.564,0.564,0.7,0.7,0.564,0.7,0.7,0.449,0.449,0.7,0.449,0.7,0.449,0.449,0.564,0.564,0.564,0.564,0.564,0.7,0.7,0.449,0.449,0.7,0.449,0.449,0.564,0.449,0.7,0.449,0.449,0.7,0.7,0.449,0.7,0.564,0.449,0.7,0.449,0.449,0.449,0.7,0.449,0.449,0.449,0.7,0.7,0.564,0.564,0.449,0.449,0.7,0.449,0.564,0.7,0.7,0.449,0.564,0.7,0.7,0.564,0.449,0.449,0.564,0.564,0.7,0.7,0.449,0.564,0.7,0.449,0.7,0.564,0.449,0.7,0.449,0.449,0.7,0.7,0.7,0.7,0.449,0.564,0.7,0.449,0.564,0.564,0.449,0.564,0.449,0.449,0.564,0.7,0.449,0.7,0.449,0.7,0.7,0.564,0.449,0.449
